year,age,maritl,race,education,region,jobclass,health,health_ins,wage
2004,40,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.54406804435028
2004,47,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5
2005,43,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,3
2005,42,4. Divorced,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7160033436348
2008,50,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.9335526450478895
2004,39,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.389684558461834
2007,50,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.244070918900613
2005,60,3. Widowed,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.53147891704226
2009,57,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.47712125471966
2007,38,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.676921923608091
2004,49,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.657912446230048
2004,51,4. Divorced,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.3883539394830615
2004,33,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.19312459835446
2006,59,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7634279935629404
2006,41,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.639454906517722
2003,33,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.75587485567249
2008,28,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.6848389927488805
2009,49,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.41572436176872
2005,51,5. Separated,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.608865550640837
2008,36,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.017061994184182
2003,26,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.47712125471966
2005,22,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.977480846900935
2006,47,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.699655246144389
2003,59,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125038364
2004,41,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.809553090707203
2006,32,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.458495578991188
2008,45,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.69897000433602
2008,39,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.23044892137827
2006,64,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.7828531986738225
2004,36,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.018409702829238
2004,61,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.359687911723911
2003,34,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.23044892137827
2004,52,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.90308998699194
2008,33,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.638406997517066
2009,36,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.146859464323457
2005,34,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.657334149112668
2004,39,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.32221929473392
2004,59,3. Widowed,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.95424250943933
2009,49,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.2130870321730844
2006,40,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.29003461136252
2006,49,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.628710967059918
2003,25,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.329307502576521
2009,59,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.360725027697456
2007,39,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.369237059354981
2005,40,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.54406804435028
2009,51,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.612896918099168
2009,63,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.729431791874119
2007,53,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.53147891704226
2008,25,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.491705181823794
2007,53,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.3825673784324275
2006,23,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.346243678871723
2004,36,1. Never Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.720659977072893
2005,19,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.3443628007656523
2005,47,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.31234522918381
2005,43,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.64345267648619
2004,40,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.782714848081363
2009,38,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.19728055812562
2003,63,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.69897000433602
2008,45,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,3.606414640179117
2008,32,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.294743648580732
2009,37,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.754243484108408
2004,37,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.319501702768
2008,41,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.77815125038364
2005,45,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.391292124760063
2008,22,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.39794000867204
2005,58,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.42696971235214
2003,44,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.630722697582372
2007,39,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.75587485567249
2005,40,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.189842778478734
2003,33,1. Never Married,3. Asian,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.39794000867204
2006,35,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.51188336097887
2009,63,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.74036268949424
2003,45,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.07918124604763
2008,31,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.838758431473742
2003,41,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.53147891704226
2008,66,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62321723414596
2009,45,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.477668362570301
2007,47,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.60205999132796
2006,35,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.906684160370336
2005,52,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.641482594156359
2003,62,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.214206853452798
2003,47,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.40380907544571
2004,40,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.91907809237607
2006,41,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62689955920852
2009,48,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.013823614475167
2005,55,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.699259304656236
2009,64,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.778742379076932
2004,29,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,3.9956916452881486
2003,49,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125038364
2009,32,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.8067664759589
2006,41,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.616354364873773
2004,58,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5
2003,41,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5
2007,34,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.57403126772772
2004,43,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.9815043867114825
2003,23,1. Never Married,2. Black,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.47712125471966
2003,40,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.63346845557959
2007,46,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.64100585131578
2004,35,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.7939098698807525
2007,42,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.00000868580278
2009,47,5. Separated,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.640812032859571
2007,45,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.065978089210949
2008,34,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.8295136777890315
2004,57,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.684023363120625
2005,32,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.45636603312904
2009,55,4. Divorced,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.517085567824639
2008,22,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.364887570022946
2005,51,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.750075111203258
2006,26,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.129625833125985
2004,27,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.8915710857876986
2004,34,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.23038687341767
2007,48,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.409016160204801
2008,23,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.280891781104199
2003,41,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.776456946331058
2009,49,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.02118929906994
2005,47,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.79239168949825
2005,35,4. Divorced,2. Black,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.9133373690979845
2007,50,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.218125703080141
2006,55,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.902787783513443
2009,69,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,3.6776872164037013
2004,45,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.126719035725811
2005,40,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.04139268515823
2005,47,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.0604583481369625
2008,22,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.36172783601759
2003,42,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.6652167630930235
2008,47,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.134174421023701
2005,48,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.915300755476009
2009,28,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.688086650755327
2005,49,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.50785587169583
2009,51,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.6194368037411655
2003,58,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5
2005,32,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.74036268949424
2009,55,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.3835967035676235
2007,49,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.448780357974659
2004,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.366947868193462
2003,44,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.20411998265593
2003,25,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.47712125471966
2004,73,4. Divorced,2. Black,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.53147891704226
2004,18,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.339366057595011
2005,52,2. Married,2. Black,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.80617997398389
2008,28,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.386219562155779
2004,51,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.2070640683405465
2009,44,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.155253841600823
2008,44,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.95424250943933
2003,29,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.538290993729337
2006,48,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,5.030744637251378
2006,62,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.643966417903587
2004,40,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.88081359228079
2003,24,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.19456983922864
2003,48,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.855085103758096
2008,54,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.09691001300806
2003,69,2. Married,2. Black,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.74036268949424
2006,48,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.736385152610578
2003,73,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.69372694892365
2009,30,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.2558029853537
2003,41,1. Never Married,3. Asian,Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.30102999566398
2009,48,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.61392634785569
2004,63,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.387083814781442
2003,29,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.44715803134222
2004,40,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.95424250943933
2007,52,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.51188336097887
2008,54,5. Separated,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.662268126104784
2009,33,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.59061783348625
2004,42,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.016493479961899
2007,31,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.559427284474318
2006,46,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.9393245252363
2008,44,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.800323178893575
2009,45,5. Separated,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.975317266137298
2003,40,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.528497865379198
2005,31,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.819353805755344
2006,19,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.371101752731314
2003,43,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.746238980207652
2007,56,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.877456614847913
2006,55,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.6232492903979
2006,59,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.77815125038364
2009,49,4. Divorced,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.63346845557959
2009,42,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.722685803134149
2008,27,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.1610540651385195
2003,34,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.43248031819023
2008,47,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62321723414596
2003,35,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.59198011410292
2004,33,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.65321251377534
2003,35,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.9970343675904445
2004,40,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.77815125038364
2004,53,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.40635667878956
2007,47,2. Married,2. Black,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.3841454722440405
2006,45,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.27875360095283
2009,34,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.21733967413932
2006,25,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.24303804868629
2006,56,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.705588704761884
2005,54,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.74942709912175
2003,41,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.49136169383427
2008,46,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62321723414596
2004,44,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.13987908640124
2004,44,4. Divorced,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.462916305116367
2005,46,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5
2009,38,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.916914370974295
2008,36,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.158532651179026
2009,27,1. Never Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.476597940956048
2008,33,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.858188244307346
2006,56,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.983682436760891
2005,52,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.672774297162853
2008,33,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.83250891270624
2008,32,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.522337863923546
2008,39,4. Divorced,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.8598724234596355
2005,22,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.275938699868377
2009,53,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.668381653753512
2006,36,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.62689955920852
2005,37,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.30102999566398
2008,40,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.075223717566374
2005,51,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.266615374649297
2008,40,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77913989193126
2006,56,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7634279935629404
2009,50,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.482168423958062
2009,49,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.872252610702876
2007,32,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.39794000867204
2004,21,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.386543323219072
2004,48,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.80578158862922
2007,48,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.30102999566398
2004,32,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.74585519517373
2003,30,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,3.97081161087252
2006,30,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.77815125038364
2003,33,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.38021124171161
2005,56,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.03342375548695
2004,46,4. Divorced,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.50514997831991
2003,49,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.65321251377534
2008,24,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.554330375436262
2009,48,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.9912260756925
2006,37,4. Divorced,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.843600740581774
2007,53,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.77815125038364
2004,56,2. Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.95424250943933
2008,34,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.69019608002851
2004,56,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.65321251377534
2006,48,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.59581243034973
2006,47,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.2790467444525584
